id	package	surface	capability	parent	description
pi-agent-source-contract-repo-utils-ts-3aa787bf9d	agent	source-contract	harness		Contract carried by packages/agent/src/harness/session/repo-utils.ts
pi-agent-source-contract-session-ts-f85b57d9d5	agent	source-contract	harness		Contract carried by packages/agent/src/harness/session/session.ts
pi-agent-source-contract-shell-output-ts-e715947173	agent	source-contract	harness		Contract carried by packages/agent/src/harness/utils/shell-output.ts
pi-agent-source-contract-skills-ts-ec0eefe5f9	agent	source-contract	harness		Contract carried by packages/agent/src/harness/skills.ts
pi-agent-source-contract-system-prompt-ts-8ad6370c58	agent	source-contract	harness		Contract carried by packages/agent/src/harness/system-prompt.ts
pi-agent-source-contract-truncate-ts-01a4329807	agent	source-contract	harness		Contract carried by packages/agent/src/harness/utils/truncate.ts
pi-agent-source-contract-types-ts-18b924ba00	agent	source-contract	types		Contract carried by packages/agent/src/types.ts
pi-agent-source-contract-types-ts-c4301d94f7	agent	source-contract	harness		Contract carried by packages/agent/src/harness/types.ts
pi-agent-source-contract-utils-ts-1b16086176	agent	source-contract	harness		Contract carried by packages/agent/src/harness/compaction/utils.ts
pi-agent-source-contract-uuid-ts-5818c5189f	agent	source-contract	harness		Contract carried by packages/agent/src/harness/session/uuid.ts
pi-agent-test-artifact-calculate-ts-9c672a3031	agent	test-artifact	utils		Contract carried by packages/agent/test/utils/calculate.ts
pi-agent-test-artifact-get-current-time-ts-170a2ec5e2	agent	test-artifact	utils		Contract carried by packages/agent/test/utils/get-current-time.ts
pi-agent-test-artifact-session-test-utils-ts-ae8e15c100	agent	test-artifact	harness		Contract carried by packages/agent/test/harness/session-test-utils.ts
pi-agent-test-artifact-simple-ts-b2556d8b2e	agent	test-artifact	scratch		Contract carried by packages/agent/test/scratch/simple.ts
pi-agent-test-scenario-abort-clears-steer-and-follow-up-queues-but-pres-fee36649e6	agent	test-scenario	harness		abort clears steer and follow-up queues but preserves next-turn messages (packages/agent/test/harness/agent-harness.test.ts:164)
pi-agent-test-scenario-appends-before-agent-start-messages-and-persists-2f56de2f17	agent	test-scenario	harness		appends before_agent_start messages and persists them (packages/agent/test/harness/agent-harness.test.ts:132)
pi-agent-test-scenario-appends-messages-and-builds-context-in-order-c1af68ad4b	agent	test-scenario	harness		appends messages and builds context in order (packages/agent/test/harness/session.test.ts:17)
pi-agent-test-scenario-appends-to-new-files-and-creates-parent-director-1bb8ffbe44	agent	test-scenario	harness		appends to new files and creates parent directories (packages/agent/test/harness/nodejs-env.test.ts:130)
pi-agent-test-scenario-attaches-source-info-to-diagnostics-476c81a308	agent	test-scenario	harness		attaches source info to diagnostics (packages/agent/test/harness/prompt-templates.test.ts:50)
pi-agent-test-scenario-attaches-source-info-to-diagnostics-9bf59603a8	agent	test-scenario	harness		attaches source info to diagnostics (packages/agent/test/harness/skills.test.ts:82)
pi-agent-test-scenario-builds-session-context-with-a-compaction-entry-f83b53b5d6	agent	test-scenario	harness		builds session context with a compaction entry (packages/agent/test/harness/compaction.test.ts:328)
pi-agent-test-scenario-calculates-total-context-tokens-from-usage-34c7fe9539	agent	test-scenario	harness		calculates total context tokens from usage (packages/agent/test/harness/compaction.test.ts:150)
pi-agent-test-scenario-captures-large-shell-output-to-a-full-output-fil-cffa8c0e59	agent	test-scenario	harness		captures large shell output to a full output file through the execution env (packages/agent/test/harness/nodejs-env.test.ts:311)
pi-agent-test-scenario-chains-provider-payload-hooks-5766a7d839	agent	test-scenario	harness		chains provider payload hooks (packages/agent/test/harness/agent-harness-stream.test.ts:181)
pi-agent-test-scenario-chains-provider-request-patches-and-supports-del-bbd3ed578b	agent	test-scenario	harness		chains provider request patches and supports deletion semantics (packages/agent/test/harness/agent-harness-stream.test.ts:89)
pi-agent-test-scenario-checks-compaction-threshold-2c30cdf4be	agent	test-scenario	harness		checks compaction threshold (packages/agent/test/harness/compaction.test.ts:155)
pi-agent-test-scenario-clamps-compaction-summary-maxtokens-to-the-model-53e16556c2	agent	test-scenario	harness		clamps compaction summary maxTokens to the model output cap (packages/agent/test/harness/compaction.test.ts:525)
pi-agent-test-scenario-cleanup-is-best-effort-63c5eb7f70	agent	test-scenario	harness		cleanup is best-effort (packages/agent/test/harness/nodejs-env.test.ts:187)
pi-agent-test-scenario-constructs-directly-and-exposes-queue-modes-1a0de51119	agent	test-scenario	harness		constructs directly and exposes queue modes (packages/agent/test/harness/agent-harness.test.ts:64)
pi-agent-test-scenario-continue-should-keep-one-at-a-time-steering-sema-bace8d994c	agent	test-scenario	agent.test		continue() should keep one-at-a-time steering semantics from assistant tail (packages/agent/test/agent.test.ts:589)
pi-agent-test-scenario-continue-should-process-queued-follow-up-message-b00455aac3	agent	test-scenario	agent.test		continue() should process queued follow-up messages after an assistant turn (packages/agent/test/agent.test.ts:551)
pi-agent-test-scenario-continues-and-gets-a-response-when-last-message--ee4984bc6a	agent	test-scenario	e2e.test		continues and gets a response when last message is user (packages/agent/test/e2e.test.ts:308)
